name,primalbound,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_new.obj,cvx_sbmiqp_new.dual_obj,cvx_sbmiqp_new.load_time,cvx_sbmiqp_new.calc_time,cvx_sbmiqp_new.iter_nr,cvx_sbmiqp_new.NLP_runs,cvx_sbmiqp_new.FNLP_runs,cvx_sbmiqp_new.MIQP_runs,cvx_sbmiqp_new.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_sbmiqp_ee_new.obj,cvx_sbmiqp_ee_new.dual_obj,cvx_sbmiqp_ee_new.load_time,cvx_sbmiqp_ee_new.calc_time,cvx_sbmiqp_ee_new.iter_nr,cvx_sbmiqp_ee_new.NLP_runs,cvx_sbmiqp_ee_new.FNLP_runs,cvx_sbmiqp_ee_new.MIQP_runs,cvx_sbmiqp_ee_new.MILP_runs
ex1223,4.579582402,4.5795824024367082,4.5795824024367082,0.014877412,0,0000,20,4.579582373600571,4.579582373600571,0.019506721291691065,0.256831306964159,0.13440000000000002,0.5238045905716717,6,11,0,6,4,4.579582373600571,4.579582373600571,0.019567803014069796,0.10075161699205637,6,11,0,3,4,5.579582371286729,5.55385887581957,0.018868776969611645,0.03185467794537544,0.024291,0.0369433187879622,2,2,0,2,0,5.579582371286729,5.564873814428035,0.025970760034397244,0.016207554028369486,2,2,0,2,0
ex1223b,4.579582402,4.579635269139426,4.5793982997816745,0.01396059,0,0000,20,4.57958237379399,4.57958237379399,0.011561820283532143,0.2701991959474981,0.14870999999999998,0.6108696316368878,6,12,0,6,5,4.57958237379399,4.57958237379399,0.010568210971541703,0.09698983107227832,6,12,0,2,5,4.57958237379399,5.711852820055359,0.011410593055188656,0.03953220462426543,0.037925,0.04111527744680643,2,3,0,2,0,4.57958237379399,5.807084566269836,0.010121010011062026,0.01892207993660122,2,3,0,2,0
fac1,160912612.4,160912612.350169,160905031.08390373,0.04148756000000001,1,0000,240,160912612.2935292,160912612.2935292,0.017534539103507996,1.472875607199967,0.91374130200031,1.4804026167839766,2,3,1,2,1,160912612.2935292,160912612.2935292,0.013927900930866599,1.4621553919278085,2,3,1,2,1,160912612.2935292,160912612.2935292,0.01481663715094328,1.5021838210523129,0.9541779370000905,1.5136138955131173,2,3,1,2,0,160912612.2935292,160912612.2935292,0.01349236408714205,1.48832685907837,2,3,1,2,0
fac2,331837498.2,331837498.17677003,331837498.17676985,0.07942441900000001,1,0010,210,331837497.8380618,329739765.28796196,0.03128268476575613,0.07592068705707788,0.153449,0.08866522647440434,2,2,0,2,1,331837497.8380618,329739765.28796196,0.029473387054167688,0.04600215097889304,2,2,0,2,1,331837497.8380618,331837497.8380618,0.030997854191809893,0.06610771594569087,0.128222,0.08915955340489745,2,2,0,2,0,331837497.8380618,331837497.8380618,0.03140939399600029,0.04127766692545265,2,2,0,2,0
flay02h,37.94733192,37.947317409314628,37.947317409314628,0.06430427600000001,3,0010,60,37.94733186289341,37.94733188293823,0.03536497289314866,0.19303400721400976,0.10775628,0.15080149099230766,3,4,0,3,1,37.94733186289341,37.94733188293823,0.02764336101245135,0.10147774498909712,3,5,0,2,1,37.94733186289341,37.94733188293823,0.02898319298401475,0.1539519289508462,0.10271899999999999,0.15420758351683617,3,4,0,3,0,37.94733186289341,37.94733188293823,0.027521343086846173,0.07439323992002755,3,5,0,3,0
flay02m,37.94733192,37.947304294012142,37.947304294012142,0.050234464,3,0010,60,37.947331824571066,37.947331804570084,0.013774592895060778,0.07896714378148317,0.050005,0.09529012022539973,3,4,0,3,1,37.947331804570084,37.947327917031394,0.013280440005473793,0.03243388293776661,3,3,0,2,1,37.947331824571066,37.947331804570084,0.012675764970481396,0.06482268776744604,0.04177,0.09520381782203913,3,4,0,3,0,37.947331804570084,37.947331824571044,0.012131503084674478,0.029791858047246933,3,3,0,3,0
flay03h,48.98979486,48.989662935929339,48.989662935929339,0.26374773,8,0020,130,48.98979484026368,48.82645082922572,0.10278632584959269,3.009279055055231,1.1914031710000001,5.346568176988512,7,18,0,5,3,48.98979487314283,48.82646265530678,0.09961045801173896,2.441167810931802,7,23,0,2,5,48.9897948403279,48.98979487314513,0.10427529085427523,0.402612472884357,0.577727914,0.5146269658580422,3,7,0,3,0,48.98979484345625,48.98979487314283,0.09878324600867927,0.4173074350692332,3,9,0,3,0
flay03m,48.98979486,48.989777079530882,48.989777079530882,0.232063929,8,0090,130,48.98979473356545,48.82649386029541,0.01992072816938162,0.6373794400133193,0.5411078859999999,1.6646398482844234,7,18,0,5,3,48.98979474823483,48.8264471789434,0.020153532037511468,0.421411301009357,7,25,0,2,5,48.98979474823521,48.98979470823197,0.02605965407565236,0.11764085991308093,0.18213200000000002,0.14737949008122087,3,5,0,3,0,48.98979473356556,48.98979474823483,0.018097908003255725,0.09643792302813381,3,8,0,3,0
flay04h,54.40588204,54.405861658716383,54.405861658716383,1.33721703,15,0010,50,54.405882041029,54.08162570617696,0.3489477187395096,10.306748732924461,7.019124956,26.145320697687566,8,24,0,7,4,54.40588204046717,54.095693883981525,0.34980386099778116,11.939897014992312,8,30,0,3,6,54.4166667054779,54.41666667870853,0.35096775693818927,1.162039206828922,1.3978204829999998,1.4574743155390024,3,8,0,3,0,54.41666667692447,54.41666669964576,0.34007309190928936,3.819719571969472,3,10,0,3,0
flay04m,54.40588203,54.405858510937541,54.405858510937541,0.701405864,19,0020,120,54.40588191752401,54.17138805275064,0.03413925599306822,3.5850504278205335,2.851444686000001,12.867903165519238,10,35,0,7,5,54.405881916095694,53.95851560665894,0.03393813909497112,2.7121748049976304,8,36,0,2,6,54.405881916095026,54.4058818952045,0.033034997060894966,0.4232672839425504,0.8522721310000001,0.5196730098687112,3,10,0,3,0,54.40588189678637,54.40588191425124,0.029619816108606756,0.8085123839555308,3,11,0,3,0
