name,primalbound,dualbound,objsense,cvx_new.obj,cvx_new.dual_obj,cvx_new.load_time,cvx_new.calc_time,cvx_new.solver_time,cvx_new.python_time,cvx_new.iter_nr,cvx_new.NLP_runs,cvx_new.FNLP_runs,cvx_new.MIQP_runs,cvx_new.MILP_runs,cvx_old.obj,cvx_old.dual_obj,cvx_old.load_time,cvx_old.calc_time,cvx_old.iter_nr,cvx_old.NLP_runs,cvx_old.FNLP_runs,cvx_old.MIQP_runs,cvx_old.MILP_runs
m7_ar3_1,143.585,143.585,min,143.58499687824644,142.6305524815547,0.2567894561216235,302.28659090120345,126.81595220509917,175.4706386961043,144.0,471.0,264.0,3.0,143.0,inf,inf,,,,,,,
m7_ar4_1,106.7568769,106.7568769,min,106.75687596472984,106.75675245310634,0.27528372034430504,1.6604419257491827,1.396621037274599,0.2638208884745836,2.0,6.0,0.0,2.0,1.0,106.75687596509891,106.75678469760564,23.547290420159698,62.98132999893278,2.0,6.0,0.0,2.0,1.0
m7_ar5_1,106.4600058,106.4600058,min,106.46000474068518,106.45989996581825,0.2614479186013341,6.043407364748418,5.797767770476639,0.245639594271779,3.0,11.0,4.0,2.0,2.0,106.46000474087649,106.45990479527862,0.25205837935209274,63.562870159745216,3.0,10.0,3.0,2.0,2.0
no7_ar25_1,107.8153083,107.8153052,min,107.86262385901688,107.80548363752793,0.2617562683299184,109.4084955258295,109.21464845817536,0.1938470676541328,3.0,10.0,3.0,2.0,2.0,107.81530522002195,107.81498129656688,0.24663059134036303,116.96286807302386,3.0,11.0,0.0,3.0,2.0
no7_ar2_1,107.8153083,107.8153071,min,107.8626238475258,107.80550044862036,0.255445409566164,67.8000699263066,67.64053086284548,0.1595390634611249,2.0,6.0,0.0,2.0,1.0,107.81530513262844,107.81530513262845,0.24767550081014633,126.87569006439298,3.0,11.0,0.0,3.0,2.0
no7_ar3_1,107.8153083,107.8153081,min,107.8663224942223,107.42917898255038,0.26704004872590303,161.10276392754167,160.84594377875328,0.2568201487883925,3.0,11.0,7.0,2.0,2.0,107.86262385898075,107.80531521118316,0.24785470683127642,221.14799461886287,5.0,19.0,10.0,4.0,3.0
no7_ar4_1,98.51840218,98.518402,min,98.51840119192414,98.51839467865926,0.268633795902133,300.3599570458755,299.20435893535614,1.1555981105193496,7.0,31.0,21.0,7.0,2.0,98.51840119028668,98.09816816469579,0.2482470916584134,246.73851332906636,6.0,22.0,14.0,3.0,5.0
no7_ar5_1,90.62267488,90.62267469,min,90.79626334925996,90.3778253408128,0.269003645516932,300.1107718264684,299.39229734428227,0.7184744821861386,7.0,31.0,21.0,3.0,6.0,90.62267367498792,90.62267377115724,0.262956359423697,300.27319436799735,7.0,24.0,17.0,5.0,4.0
o7,131.6531381,131.6531378,min,inf,inf,,,,,,,,,,inf,inf,,,,,,,
o7_2,116.9459316,116.9459315,min,116.94593023755796,114.8920684974713,0.22107769176363945,300.1064973445609,299.46696897782385,0.6395283667370677,6.0,26.0,21.0,5.0,2.0,119.07026416400606,119.07026408922053,0.2217587511986494,300.0908976914361,6.0,26.0,21.0,6.0,1.0
o7_ar25_1,140.4119583,140.4119581,min,140.4119572943799,139.89687597602756,0.2630512835457921,237.8791528334841,237.5111808869988,0.3679719464853406,4.0,15.0,11.0,3.0,2.0,140.41195729715795,139.97648529301765,0.2640806082636118,181.49106122460216,3.0,11.0,8.0,3.0,1.0
o7_ar2_1,140.4119583,140.4119583,min,140.41195731265466,140.41181242374753,0.2645432408899069,158.8707420481369,158.6206503259018,0.2500917222350836,3.0,11.0,5.0,2.0,2.0,140.41195729746718,140.4109547468839,0.26970387250185013,167.89882402215153,3.0,10.0,4.0,2.0,2.0
