id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
88,gasnet,1.7976931348623157e+308,-1.7976931348623157e+308,0.031190904000000002,0,0000,00
89,gastrans,NAN,NAN,NAN,NAN,NAN,NAN
90,gastrans040,0,0,1.127360787,1,0010,00
91,gastrans135,1.7976931348623157e+308,0,92.842788412,9,00130,00
92,gastrans582_cold13,1.7976931348623157e+308,0,211.626129547,12,00120,00
93,gastrans582_cold13_95,1.7976931348623157e+308,0,225.65747991,13,00130,00
94,gastrans582_cold17,1.7976931348623157e+308,0,283.33361809900003,17,00170,00
95,gastrans582_cold17_95,1.7976931348623157e+308,0,275.32204059000003,16,00160,00
96,gastrans582_cool12,1.7976931348623157e+308,0,313.54361654400003,19,10190,00
97,gastrans582_cool12_95,1.7976931348623157e+308,0,281.04940398499997,16,00160,00
98,gastrans582_cool14,1.7976931348623157e+308,0,263.450786078,15,00150,00
99,gastrans582_cool14_95,1.7976931348623157e+308,0,187.23279904100002,10,00100,00
100,gastrans582_freezing27,1.7976931348623157e+308,-1.7976931348623157e+308,2.860917696,0,0000,00
101,gastrans582_freezing27_95,1.7976931348623157e+308,-1.7976931348623157e+308,5.209802179,0,0000,00
102,gastrans582_freezing30,1.7976931348623157e+308,0,111.422982696,5,0050,00
103,gastrans582_freezing30_95,1.7976931348623157e+308,0,259.951055784,15,00150,00
104,gastrans582_mild10,1.7976931348623157e+308,0,209.43962256,11,00110,00
105,gastrans582_mild10_95,1.7976931348623157e+308,0,308.71467192899996,20,10200,00
106,gastrans582_mild11,1.7976931348623157e+308,0,230.35727297399998,13,00130,00
107,gastrans582_mild11_95,1.7976931348623157e+308,0,233.703201585,13,00130,00
108,gastrans582_warm15,1.7976931348623157e+308,0,274.559022052,16,00160,00
109,gastrans582_warm15_95,1.7976931348623157e+308,0,226.385633292,13,00130,00
110,gastrans582_warm31,1.7976931348623157e+308,0,311.123971756,21,10210,00
111,gastrans582_warm31_95,1.7976931348623157e+308,0,290.83024013200003,19,00190,00
112,gear4,945.99143940676981,0,0.112427326,8,00170,00
113,ghg_1veh,1.7976931348623157e+308,-12.535561207688136,3.749942261,7,0070,00
114,ghg_2veh,1.7976931348623157e+308,0,19.817939889999998,5,0050,00
115,ghg_3veh,1.7976931348623157e+308,0,90.20526708899999,9,0090,00
116,gkocis,-1.9230987390737262,-1.9252501145069694,0.10375516100000001,5,0050,00
117,hadamard_4,3,3,0.096595182,0,0010,10
118,hadamard_5,5,5,12.791642031,0,0010,10
119,hadamard_6,9.0000000099899999,70.999999999999957,299.957489915,1,1000,10
120,hadamard_7,24.00000000999,975.45318425279186,299.88028043400004,4,1000,10
121,hadamard_8,24.00000000999,15786.083333334072,299.210444534,2,1000,10
122,hadamard_9,-1.7976931348623157e+308,1.7976931348623157e+308,1244.912756114,0,0000,10
123,hda,1.7976931348623157e+308,-6692.4704353843554,112.20615488,10,0060,00
124,heatexch_gen1,194585.36648605173,100500.00000004785,85.090779283,29,00270,00
125,heatexch_gen2,1355902.165716561,1590.0125080900871,60.65404221,12,0050,00
126,heatexch_gen3,1.7976931348623157e+308,783.01806449992148,340.196932755,29,10200,00
127,heatexch_spec1,167602.49002697971,0,0.6107534299999999,6,0060,00
128,heatexch_spec2,662134.77475048834,6.3299538074041468,1.197256,5,0050,00
129,heatexch_spec3,474754.62461658078,3.0302074294896135,6.217911451,3,0040,00
130,heatexch_trigen,-1.7976931348623157e+308,1.7976931348623157e+308,0.087254987,0,0000,00
131,hybriddynamic_var,1.7976931348623157e+308,-1.7976931348623157e+308,0.024866965999999997,0,0000,00
132,johnall,1.7976931348623157e+308,-302.89423495612607,353.66681600199996,2,1020,00
133,kan_peaks_h1_n2_g24,1.7976931348623157e+308,-1.7976931348623157e+308,0.084646229,0,0000,00
134,kan_peaks_h1_n2_g3,1.7976931348623157e+308,-1.7976931348623157e+308,0.026465964,0,0000,00
135,kan_peaks_h1_n5,-3.0500057823453091,-33.898250831606738,159.718835593,50,00110,00
136,kan_r3_h1_n3,57.338740683479912,-0.013654859930738894,28.652661857000002,14,00100,00
137,kan_r3_h1_n4,1.7976931348623157e+308,-1.7976931348623157e+308,0.140420065,0,0000,00
138,kan_r3_h1_n5,1.7976931348623157e+308,-1.7976931348623157e+308,0.198636482,0,0000,00
139,kan_r3_h1_n9,1.7976931348623157e+308,-1.7976931348623157e+308,0.539984201,0,0000,00
140,kan_r5_h1_n3,683.20372671022994,-25236.947037710132,66.46654608600001,9,0060,00
141,kan_r5_h1_n5,1.7976931348623157e+308,-1.7976931348623157e+308,0.165809256,0,0000,00
142,kan_r5_h1_n8,1.7976931348623157e+308,-1.7976931348623157e+308,0.35239256799999996,0,0000,00
143,kport20,1.7976931348623157e+308,27.922267203655863,0.20311221299999999,5,0080,00
144,kport40,1.7976931348623157e+308,31.003212105432645,3.238849748,8,00110,00
145,lip,5643467.8770016767,19160315.855666269,0.9686557969999999,9,00330,00
146,mbtd,4.6666599999999976,4.4999900000000013,298.88117269699995,8,1000,10
147,milinfract,-1.7976931348623157e+308,1.7976931348623157e+308,1.991778314,0,0000,00
148,multiplants_mtg1a,-1.7976931348623157e+308,1.7976931348623157e+308,0.11242585299999999,0,0030,00
149,multiplants_mtg1b,-1.7976931348623157e+308,1.7976931348623157e+308,0.09575872599999999,0,0030,00
150,multiplants_mtg1c,-1.7976931348623157e+308,1.7976931348623157e+308,0.14507762800000001,0,0030,00
151,multiplants_mtg2,-1.7976931348623157e+308,1.7976931348623157e+308,0.150118509,0,0030,00
152,multiplants_mtg5,-1.7976931348623157e+308,1.7976931348623157e+308,0.115939982,0,0030,00
153,multiplants_mtg6,-1.7976931348623157e+308,1.7976931348623157e+308,0.214936063,0,0030,00
154,multiplants_stg1,-1.7976931348623157e+308,66661,6.117781543,14,00140,00
155,multiplants_stg1a,-1.7976931348623157e+308,46868.5,5.349090096,9,0090,00
156,multiplants_stg1b,-1.7976931348623157e+308,149662.80000000002,2.603145705,9,0090,00
157,multiplants_stg1c,-1.7976931348623157e+308,111661.2,5.260104385,11,00110,00
158,multiplants_stg5,3903.7881348703486,259010.39999999999,8.302289728,13,00120,00
159,multiplants_stg6,-1.7976931348623157e+308,340972.79999999999,7.033087353,12,00110,00
160,nvs01,1.7976931348623157e+308,0,0.070148184,1,0040,00
161,nvs05,1.7976931348623157e+308,0.67402220471000007,0.7882914249999999,2,0060,00
162,nvs08,23.449727344266829,16.389762015158126,0.08791860300000001,3,0030,00
163,nvs21,-0.0065124000000000015,-25728000.000000004,0.238501814,21,00210,00
164,nvs22,22.210439999999998,1.8263600000000002,0.634148345,8,0090,00
165,oaer,-1.9230985659290898,-1.9252498781626528,0.10932614,5,0050,00
166,oil,1.7976931348623157e+308,-2.7670560958618551,61.166125931,6,0060,00
167,oil2,1.7976931348623157e+308,-1.0999910000000002,100.961775684,10,0090,00
168,ortez,-9532.0391320331855,-45081.599999999999,3.161394691,18,00330,00
169,parallel,2642.7116434911572,-1.7976931348623157e+308,0.495441119,8,0060,00
