id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
133,rsyn0815m03hfsg,2827.925964967154,9464.6246100658154,6.390891621,13,00130,00
134,rsyn0815m03m,2827.9087622953762,2856.1361658146388,1.903641234,4,0000,50
135,rsyn0815m04hfsg,3410.8544472326103,13687.467174018479,10.066865515,15,00150,00
136,rsyn0815m04m,3410.8289112288248,3442.3171067011649,1.525127202,5,0000,50
137,rsyn0820hfsg,1150.3005925896236,3895.2405596422432,0.8271897659999999,6,0060,00
138,rsyn0820m,1150.3012743709035,1150.3012743709035,0.34370325900000004,2,0010,50
139,rsyn0820m02hfsg,1092.0911628892338,4768.0145451649059,4.366434758,12,00120,00
140,rsyn0820m02m,1092.0915198987002,1102.5760574736455,0.796220928,5,0010,40
141,rsyn0820m03hfsg,2028.8120361619435,7870.5078808658227,9.416265134,14,00140,00
142,rsyn0820m03m,2027.328726609167,2027.328726609167,2.316142019,4,0010,60
143,rsyn0820m04hfsg,2450.7723293976014,10305.463799502697,19.596632976,17,00170,00
144,rsyn0820m04m,2450.7735848689572,2450.7735848689581,3.8998873659999997,6,0010,50
145,rsyn0830hfsg,510.07205110532789,1302.6058822997279,1.618301073,9,0090,00
146,rsyn0830m,510.07333290227348,514.78938479636827,0.493763496,5,0010,50
147,rsyn0830m02hfsg,730.50728015114407,2629.6755794984169,7.228461343,13,00130,00
148,rsyn0830m02m,730.50778893256154,730.50778893256188,0.94713057,4,0010,60
149,rsyn0830m03hfsg,1543.0594420222678,4290.09282001663,16.162801366,13,00130,00
150,rsyn0830m03m,1541.612616393907,1541.6126163939073,2.494013094,7,0010,60
151,rsyn0830m04hfsg,2529.0735668990133,6268.4361292450121,30.954340195,13,00130,00
152,rsyn0830m04m,2528.3455506355244,2553.4976274475443,5.071533947,7,0000,40
153,rsyn0840hfsg,325.55454628205302,1878.2380108414532,3.238284773,15,00150,00
154,rsyn0840m,325.55481396038488,327.87171822918344,0.34180434699999995,3,0000,50
155,rsyn0840m02hfsg,734.98362525564607,4663.1951112444112,10.464979204999999,13,00130,00
156,rsyn0840m02m,734.98611935212784,741.97381370577932,1.7523402769999998,6,0010,40
157,rsyn0840m03hfsg,2742.6457750707796,7835.5876387216804,35.512917142000006,16,00160,00
158,rsyn0840m03m,2734.2229450363166,2757.9299591175945,5.001089799,11,0000,50
