name,primalbound,dualbound,objsense,cvx_bonmin.obj,cvx_bonmin.dual_obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_bonmin.python_time,cvx_bonmin.iter_nr,cvx_bonmin.NLP_runs,cvx_bonmin.FNLP_runs,cvx_bonmin.MIQP_runs,cvx_bonmin.MILP_runs,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_shot.obj,cvx_shot.dual_obj,cvx_shot.calc_time,cvx_shot.NLP_runs,cvx_shot.MIP_runs,cvx_shot.relaxed_MIP_runs,cvx_gurobi.obj,cvx_gurobi.dual_obj,cvx_gurobi.calc_time,cvx_scip.obj,cvx_scip.dual_obj,cvx_scip.calc_time
clay0303hfsg,26669.10957,26669.10957,min,26669.10957248651,-inf,0,18.61963480245322,,0.0,0.0,0.0,0.0,0.0,0.0,26669.10955098333,26669.09512332754,0.21950811240822077,4.21000262349844,3.166124338284135,1.043878285214305,7.0,28.0,16.0,5.0,4.0,28351.419449595523,829073019.9405603,0.2112900661304593,2.2286946987733245,1.9018665943294764,0.3268281044438481,4.0,16.0,12.0,4.0,0.0,26669.10279399361,26669.10279399361,0.988212376,5,10,120,26669.109572740843,26458.10032464017,0.7512949999999999,26669.109572280402,26669.1095722804,2.9995670000000003
clay0304hfsg,40262.38753,40262.38753,min,40262.3875306086,-inf,0,293.1674328800291,,0.0,0.0,0.0,0.0,0.0,0.0,40262.38749393643,40262.20457440197,0.3736004438251257,15.264293614774942,12.230316780507565,3.033976834267378,11.0,49.0,32.0,7.0,5.0,40262.38749393643,40262.38749393643,0.3636381095275283,9.811559616588056,8.571481094695628,1.2400785218924284,7.0,31.0,26.0,7.0,0.0,40262.38738826805,40262.38404175095,4.162015245,9,10,70,40262.3875307319,39879.81304499139,9.87775,40262.38753020098,40262.38753020098,10.361373
clay0305hfsg,8092.5,8092.5,min,83563.81870162023,-inf,0,302.16015729960054,,0.0,0.0,0.0,0.0,0.0,0.0,8092.49995669805,8084.903092878134,0.6427905447781086,13.333760764449837,12.288874729536474,1.044886034913361,2.0,6.0,0.0,2.0,1.0,8092.49995669805,8092.499956698056,0.6483961436897516,4.685383114032447,3.455195396207273,1.2301877178251743,2.0,6.0,0.0,2.0,0.0,8092.499859901085,8024.999999999998,9.912316215,12,0,140,8092.5,8012.688940202791,14.538761,8092.499966935132,8092.499966935132,33.593959000000005
cvxnonsep_normcon20,-21.74914736,-21.74914739,min,-21.74914736370381,-inf,0,0.0234350655227899,,0.0,0.0,0.0,0.0,0.0,0.0,-21.7491473846331,-21.82222547389317,0.05508924834430218,0.0275816079229116,0.0119039928540587,0.0156776150688529,2.0,2.0,0.0,2.0,1.0,-21.7491473846331,-21.206736409237497,0.054067282006144524,0.0214882781729102,0.0097717959433794,0.0117164822295308,2.0,2.0,0.0,2.0,0.0,-21.74910911991018,-21.75052893550378,0.062478911,0,0,0,-21.731620894918212,-21.76306471678597,0.014947,-21.749147364359114,-21.74924416566666,0.044575
cvxnonsep_normcon30,-34.24396574,-34.24396578,min,-34.24396574092516,-inf,0,0.0439041154459118,,0.0,0.0,0.0,0.0,0.0,0.0,-34.22751206702149,-34.428749859066556,0.040997471660375595,0.031729114241898,0.0137613536790013,0.0179677605628967,2.0,2.0,0.0,2.0,1.0,-34.22751206702149,-32.94923150649154,0.040999612770974636,0.0258496096357703,0.0118417786434292,0.014007830992341,2.0,2.0,0.0,2.0,0.0,-34.0369075269558,-34.24396862948532,0.065252579,0,0,0,-34.23926411367677,-34.24642479015976,0.016909,-34.23043478999999,-34.26189063375,0.0203479999999999
cvxnonsep_normcon40,-32.62966972,-32.62966975,min,-32.629669716769314,-inf,0,0.0612275581806898,,0.0,0.0,0.0,0.0,0.0,0.0,-32.6296697474825,-32.88554272835089,0.0638530058786273,0.0377195114269852,0.0169376637786626,0.0207818476483225,2.0,2.0,0.0,2.0,1.0,-32.6296697474825,-30.01776320665603,0.06573113333433867,0.0331038404256105,0.0153408041223883,0.0177630363032221,2.0,2.0,0.0,2.0,0.0,-32.4635173791452,-32.62967235498402,0.133707873,0,0,0,-32.62966848824743,-32.63323863687672,0.017356,-32.629655769396265,-32.62966975433859,0.055297
cvxnonsep_nsig20,80.94929546,80.94929538,min,80.94929545987226,-inf,0,0.0330672208219766,,0.0,0.0,0.0,0.0,0.0,0.0,80.94929465741761,80.81583433225809,0.03570092003792524,0.0276839239522814,0.0120985237881541,0.0155854001641273,2.0,2.0,0.0,2.0,1.0,80.94929465741761,83.05661371610702,0.037831918336451054,0.0231318613514304,0.0105397626757621,0.0125920986756682,2.0,2.0,0.0,2.0,0.0,81.20437400056099,80.41551933021566,0.079380013,1,0,30,81.5817021116515,80.76929550587813,0.041198,80.9651940805831,80.17169218132975,42.939083
cvxnonsep_nsig20r,80.94929546,80.94929529,min,80.9492954596234,-inf,0,0.0267914859578013,,0.0,0.0,0.0,0.0,0.0,0.0,80.94927862502492,80.81581789826072,0.024419130757451057,0.0350053943693637,0.0120907612144947,0.022914633154869,2.0,2.0,0.0,2.0,1.0,80.94927862502492,80.81581789826072,0.025492656975984573,0.0246561970561742,0.0095551442354917,0.0151010528206825,2.0,2.0,0.0,2.0,0.0,80.99339916130371,80.6588934115195,0.2672624919999999,7,40,30,81.27573104790591,80.68998022595089,0.046253,81.0814978336423,80.94899210294963,0.0704529999999999
cvxnonsep_nsig30,130.6287126,130.6287125,min,130.62871264096867,-inf,0,0.0631403950974345,,0.0,0.0,0.0,0.0,0.0,0.0,130.65033700034454,130.47997176012422,0.05697248876094818,0.034577795304358,0.0165572483092546,0.0180205469951033,2.0,2.0,0.0,2.0,1.0,130.65033700034454,133.5763959708664,0.056518116034567356,0.0302835116162896,0.0151656074449419,0.0151179041713476,2.0,2.0,0.0,2.0,0.0,131.1015162477602,130.4307659227187,0.09572069,2,0,30,130.73847192950646,129.4357201495071,0.044366,131.3243854397202,110.0091383644548,301.204083
cvxnonsep_nsig30r,156.4266874,156.4266723,min,156.4266728539161,-inf,0,0.0638041878119111,,0.0,0.0,0.0,0.0,0.0,0.0,156.4266167111624,156.2343211644331,0.03688066080212593,0.0389230763539671,0.0125841051340103,0.0263389712199568,2.0,2.0,0.0,2.0,1.0,156.4266167111624,156.2343211644331,0.03908758610486984,0.0293935583904385,0.0107774464413523,0.0186161119490861,2.0,2.0,0.0,2.0,0.0,157.46364825513282,155.90162476952193,0.150689017,3,0,30,156.78668563904648,155.3959024049933,0.048807,157.01569379227624,156.4216247519655,0.089151
