id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs,grad_amplified
114,multiplants_stg5.nl,-5833.936975794329,-5891.392261958192,3.1781182531267405,111.16021871613339,97.98393093328923,13.176287782844156,5,17,0,3,4,True
115,multiplants_stg6.nl,-5166.121304475787,-5206.468424305333,9.979756626766175,128.76898776972666,115.2354332646355,13.53355450509116,2,4,0,2,1,True
116,nvs01.nl,12.46966882156821,12.46966882156821,0.04374086204916239,0.042213920038193464,0.02025103848427534,0.021962881553918123,3,5,2,3,1,True
117,nvs05.nl,16.8266994600507,7.377317748195004,0.018547970801591873,0.3335913117043674,0.3181601664982736,0.015431145206093788,2,3,2,2,1,True
118,nvs08.nl,23.4497273467636,23.4497273467636,0.013037847355008125,0.02818119991570711,0.011982799042016268,0.016198400873690844,2,5,0,2,1,True
119,nvs21.nl,-4.85101451327195,-4.876280213293529,0.01053624413907528,0.06254549883306026,0.02914327196776867,0.033402226865291595,5,8,1,2,4,True
120,nvs22.nl,6.05822,6.05822,0.01841557025909424,0.07668280880898237,0.054314179345965385,0.022368629463016987,3,6,2,2,2,True
121,parallel.nl,924.2915486852484,924.2915486852482,0.1376596512272954,3.0116974469274282,0.4179255594499409,2.5937718874774873,2,6,0,2,1,True
122,pooling_epa1.nl,-280.8056029557971,169.2148144620819,0.44391678692772985,1.9475861876271665,1.2779107447713614,0.6696754428558052,2,3,0,2,1,True
123,pooling_epa2.nl,-3433.6788485297084,-1384.0154195402029,0.8745372793637216,17.182595503982157,13.086665445473045,4.095930058509111,2,4,1,2,1,True
124,pooling_epa3.nl,-14010.520185836385,-12965.80441907105,8.114261202979833,71.47044851304963,34.53977331472561,36.930675198324025,3,5,0,3,2,True
125,procsel.nl,-1.411002128193271,-1.411002128193271,0.24122090125456452,0.020335441920906305,0.008677605539560318,0.011657836381345987,2,2,0,2,1,True
126,saa_2.nl,12.191509788496791,12.191509788496791,475.1538238460198,426.8780998047441,168.6173669374548,258.26073286728933,3,7,0,3,2,True
127,sepasequ_complex.nl,368.73442054428114,417.77429531869524,13.919407153967768,77.56641953904182,63.17076314613223,14.395656392909586,3,10,0,3,2,True
128,sepasequ_convent.nl,429.7275661819858,429.7275661819858,4.16713641397655,36.888476920779794,18.263815124053508,18.624661796726286,2,2,0,2,1,True
129,sfacloc1_2_80.nl,12.918564130008527,12.918564130008527,3.0132528571411967,8.71791473403573,5.419896028470248,3.2980187055654824,3,7,0,3,2,True
130,sfacloc1_2_90.nl,17.984155621599637,17.963400129523787,0.42697999998927116,0.8176018861122429,0.41172606125473976,0.4058758248575032,2,5,0,2,1,True
